Game #,Attendance
1,"41,650"
2,"24,593"
3,"18,119"
4,"18,378"
5,"19,400"
6,"21,144"
7,"27,684"
8,"35,974"
9,"35,397"
10,"25,097"
11,"24,186"
12,"22,112"
13,"27,153"
14,"24,476"
15,"35,695"
16,"28,232"
17,"28,634"
18,"30,019"
19,"36,786"
20,"31,264"
21,"33,096"
22,"38,700"
23,"26,176"
24,"30,781"
25,"38,274"
26,"38,898"
27,"37,941"
28,"38,044"
29,"34,294"
30,"37,187"
31,"41,955"
32,"42,000"
33,"33,109"
34,"29,918"
35,"33,386"
36,"29,386"
37,"27,631"
38,"35,195"
39,"37,328"
40,"29,174"
41,"25,138"
42,"26,330"
43,"36,982"
44,"38,861"
45,"32,775"
46,"38,747"
47,"34,050"
48,"38,586"
49,"31,618"
50,"30,747"
51,"30,663"
52,"34,036"
53,"36,404"
54,"32,790"
55,"30,978"
56,"30,185"
57,"29,089"
58,"38,490"
59,"29,107"
60,"39,100"
61,"39,722"
62,"33,433"
63,"27,901"
64,"28,124"
65,"26,005"
66,"17,161"
67,"19,894"
68,"25,412"
69,"28,469"
70,"36,152"
71,"31,805"
72,"22,832"
73,"25,796"
74,"29,669"
75,"18,707"
76,"24,297"
77,"20,577"
78,"21,618"
79,"30,857"
80,"31,635"
81,"28,730"
