NPI,Gender,NE,MW,S,W,MD,Opioid,N.Opioid,Opioid.P
1710982582,1,0,0,1,0,1,0,0,1
1245278100,0,0,0,1,0,1,1,0,1
1427182161,0,1,0,0,0,1,0,0,0
1669567541,1,0,0,0,1,1,1,0,1
1679650949,1,0,0,0,1,1,0,0,1
1548580897,1,1,0,0,0,1,0,0,1
1437192002,1,1,0,0,0,1,1,1,1
1407113988,0,1,0,0,0,0,0,0,0
1023260569,1,0,0,1,0,1,0,0,0
1821106832,0,0,1,0,0,1,0,1,1
1609931914,0,0,0,0,0,1,0,0,1
1659334472,1,0,0,1,0,1,0,0,1
1144205303,1,0,0,0,1,1,1,1,1
1548275050,1,0,1,0,0,1,0,0,0
1952598419,0,0,0,1,0,1,1,0,1
1780661793,1,0,1,0,0,1,0,0,1
1356388011,0,1,0,0,0,1,0,0,0
1588788921,1,1,0,0,0,1,0,0,0
1548238389,1,0,0,1,0,1,0,0,1
1366582587,1,0,1,0,0,1,0,0,1
1083907059,1,0,0,0,1,1,0,0,1
1598748931,0,0,0,1,0,1,1,1,1
1609121748,0,0,1,0,0,0,0,0,0
1063566727,0,0,1,0,0,0,0,0,1
1487630919,1,1,0,0,0,0,0,0,0
1194795351,0,0,0,1,0,0,0,0,0
1669671194,1,1,0,0,0,0,0,0,0
1629394754,1,1,0,0,0,0,0,0,1
1174555080,0,0,0,1,0,1,0,0,1
1508170895,0,0,0,0,1,1,0,0,0
1871548537,0,0,0,0,1,1,0,0,1
1841349677,0,0,1,0,0,0,1,0,1
1801816095,1,0,0,1,0,1,0,0,0
1629038443,1,0,0,1,0,1,0,0,1
1386607315,0,0,0,1,0,1,0,0,1
1811005366,1,0,0,0,1,1,0,0,0
1902018518,0,0,0,0,1,0,0,1,0
1295852101,1,0,1,0,0,1,0,0,1
1467448381,0,0,0,0,1,0,1,1,1
1285675637,1,0,1,0,0,1,1,1,1
1669400792,0,0,1,0,0,0,0,0,0
1598863342,0,0,0,0,1,0,0,0,0
1891112496,1,1,0,0,0,0,0,0,0
1235270554,1,0,0,0,1,1,0,0,0
1679630891,0,0,0,1,0,0,1,0,1
1235132788,1,1,0,0,0,1,0,0,0
1346496197,0,0,1,0,0,1,0,0,1
1922136613,1,1,0,0,0,1,0,0,1
1316085228,0,0,0,0,1,0,0,0,0
1295742583,1,0,1,0,0,1,0,0,0
1235426800,0,1,0,0,0,0,0,0,1
1902866106,0,0,0,1,0,1,0,0,0
1952353724,1,0,0,1,0,1,0,1,0
1043399322,1,0,0,1,0,1,1,0,1
1255471140,1,0,1,0,0,1,0,0,0
1619975919,0,1,0,0,0,0,0,0,1
1023062759,1,0,1,0,0,1,0,0,1
1376865949,0,0,0,0,0,1,0,0,0
1609867399,1,0,1,0,0,1,0,0,0
1225079817,0,0,1,0,0,1,0,0,1
1093777229,0,1,0,0,0,1,0,0,0
1134260607,0,1,0,0,0,0,0,0,1
1164544045,1,0,0,1,0,1,0,0,1
1538141569,0,0,1,0,0,1,0,0,0
1902916729,1,0,0,0,1,1,0,0,1
1679647747,1,0,1,0,0,1,0,0,0
1154304293,0,0,0,1,0,1,0,0,0
1659395069,1,0,0,1,0,0,0,0,1
1114977758,1,0,1,0,0,1,0,0,1
1912339961,0,0,0,1,0,0,0,0,1
1699933614,0,0,1,0,0,0,0,0,1
1174601066,1,0,0,0,1,1,1,1,1
1003893140,1,0,0,1,0,1,0,0,0
1104843101,0,0,1,0,0,1,0,0,0
1912114752,1,0,1,0,0,1,0,0,1
1326073214,1,1,0,0,0,0,0,0,1
1063772572,0,0,1,0,0,0,0,0,1
1144285164,1,0,0,1,0,1,0,1,0
1255327441,1,0,1,0,0,0,0,0,0
1316921752,1,0,1,0,0,1,0,0,0
1194739243,1,1,0,0,0,1,0,1,1
1609831783,0,0,0,0,1,1,0,0,1
1871682567,0,0,0,1,0,0,1,1,1
1124108774,1,1,0,0,0,1,0,0,1
1386964930,0,0,0,1,0,1,0,0,1
1346403839,1,1,0,0,0,1,0,0,0
1184760480,1,0,0,1,0,1,1,0,1
1457380826,0,1,0,0,0,0,0,0,1
1730245325,1,1,0,0,0,1,0,0,0
1013935303,1,1,0,0,0,1,1,1,1
1629152525,1,0,0,1,0,1,0,0,1
1265477343,1,0,0,1,0,1,0,0,1
1629099304,1,0,0,1,0,1,1,0,1
1205126695,0,0,0,1,0,1,0,0,0
1982602868,1,1,0,0,0,1,1,0,1
1578724068,1,0,1,0,0,1,0,0,0
1144296245,1,0,0,0,1,1,1,1,1
1508982414,0,0,0,1,0,1,1,1,1
1316176233,1,0,1,0,0,1,0,0,1
1285792762,1,0,0,0,1,1,1,1,1
1386962785,1,1,0,0,0,1,1,0,1
1457391989,1,1,0,0,0,1,0,0,0
