NPI,Gender,State,Credentials,Specialty,Total Opiod Drug Prescriptinons,Total Non-Opiod Drug Prescriptions),Region,NE,MW,S,W,Opioid.Prescriber,Med.Doc
1710982582,M,TX,DDS,Dentist,17,12,S,0,0,1,0,1,1
1245278100,F,AL,MD,General Surgery,362,1056,S,0,0,1,0,1,1
1427182161,F,NY,M.D.,General Practice,0,289,NE,1,0,0,0,0,1
1669567541,M,AZ,MD,Internal Medicine,559,1198,W,0,0,0,1,1,1
1679650949,M,NV,M.D.,Hematology/Oncology,66,113,W,0,0,0,1,1,1
1548580897,M,PA,DO,General Surgery,25,0,NE,1,0,0,0,1,1
1437192002,M,NH,MD,Family Practice,90,2821,NE,1,0,0,0,1,1
1407113988,F,PA,"RN, MSN, ANP-BC",Nurse Practitioner,0,198,NE,1,0,0,0,0,0
1023260569,M,TX,O.D.,Optometry,0,144,S,0,0,1,0,0,1
1821106832,F,WI,MD,Internal Medicine,64,2184,MW,0,1,0,0,1,1
1609931914,F,PR,M.D.,General Practice,71,240,O,0,0,0,0,1,1
1659334472,M,TX,MD,General Surgery,17,0,S,0,0,1,0,1,1
1144205303,M,CO,MD,Family Practice,247,3213,W,0,0,0,1,1,1
1548275050,M,OH,MD,Cardiology,0,47,MW,0,1,0,0,0,1
1952598419,F,TX,MD,Hematology/Oncology,155,579,S,0,0,1,0,1,1
1780661793,M,OH,M.D.,General Surgery,25,0,MW,0,1,0,0,1,1
1356388011,F,MA,M.D.,Internal Medicine,0,14,NE,1,0,0,0,0,1
1588788921,M,CT,,Hematology/Oncology,0,35,NE,1,0,0,0,0,1
1548238389,M,FL,M.D.,General Surgery,41,102,S,0,0,1,0,1,1
1366582587,M,MN,D.D.S.,Dentist,14,0,MW,0,1,0,0,1,1
1083907059,M,UT,M.D.,Obstetrics/Gynecology,11,0,W,0,0,0,1,1,1
1598748931,F,AL,M.D.,Family Practice,139,3366,S,0,0,1,0,1,1
1609121748,F,IA,ACNP,Nurse Practitioner,0,200,MW,0,1,0,0,0,0
1063566727,F,IL,DPM,Podiatry,48,107,MW,0,1,0,0,1,0
1487630919,M,CT,PAC,Physician Assistant,0,625,NE,1,0,0,0,0,0
1194795351,F,FL,A.R.N.P.,Nurse Practitioner,0,120,S,0,0,1,0,0,0
1669671194,M,NY,M.D.,Diagnostic Radiology,0,144,NE,1,0,0,0,0,0
1629394754,M,NY,MD,Student in an Organized Health Care Education/Training Program,0,19,NE,1,0,0,0,1,0
1174555080,F,FL,MD,Internal Medicine,20,383,S,0,0,1,0,1,1
1508170895,F,CO,DDS,Dentist,0,14,W,0,0,0,1,0,1
1871548537,F,MT,MD,Internal Medicine,31,264,W,0,0,0,1,1,1
1841349677,F,IN,"MSN, APRN, BC",Nurse Practitioner,587,90,MW,0,1,0,0,1,0
1801816095,M,FL,,Neurology,0,72,S,0,0,1,0,0,1
1629038443,M,VA,MD,General Surgery,0,64,S,0,0,1,0,1,1
1386607315,F,FL,D.O.,Neurology,0,1180,S,0,0,1,0,1,1
1811005366,M,CA,"M.D,",Internal Medicine,0,12,W,0,0,0,1,0,1
1902018518,F,NV,APRN,Nurse Practitioner,0,3717,W,0,0,0,1,0,0
1295852101,M,IN,M.D.,General Surgery,53,0,MW,0,1,0,0,1,1
1467448381,F,OR,PA-C,Physician Assistant,104,2312,W,0,0,0,1,1,0
1285675637,M,NE,M.D.,Family Practice,256,5305,MW,0,1,0,0,1,1
1669400792,F,MI,CNM,Certified Nurse Midwife,0,192,MW,0,1,0,0,0,0
1598863342,F,NM,RN CNP,Nurse Practitioner,0,60,W,0,0,0,1,0,0
1891112496,M,PA,PA-C,Physician Assistant,0,48,NE,1,0,0,0,0,0
1235270554,M,CA,DDS MS,Dentist,0,22,W,0,0,0,1,0,1
1679630891,F,TN,"DNP, APRN-BC, FNP",Nurse Practitioner,161,1247,S,0,0,1,0,1,0
1235132788,M,NY,DDS,Dentist,0,27,NE,1,0,0,0,0,1
1346496197,F,IL,M.D.,Rheumatology,25,341,MW,0,1,0,0,1,1
1922136613,M,CT,DDS,Dentist,15,40,NE,1,0,0,0,1,1
1316085228,F,CA,PHARM D.,Pharmacist,0,103,W,0,0,0,1,0,0
1295742583,M,KS,O.D.,Optometry,0,90,MW,0,1,0,0,0,1
1235426800,F,PA,CRNP,Nurse Practitioner,33,0,NE,1,0,0,0,1,0
1902866106,F,LA,M.D.,Obstetrics/Gynecology,0,66,S,0,0,1,0,0,1
1952353724,M,MD,M.D.,Cardiology,0,1462,S,0,0,1,0,0,1
1043399322,M,TX,MD,Urology,132,1090,S,0,0,1,0,1,1
1255471140,M,IL,MD,Cardiac Electrophysiology,0,1037,MW,0,1,0,0,0,1
1619975919,F,CT,PAC,Physician Assistant,78,0,NE,1,0,0,0,1,0
1023062759,M,MI,M.D.,Family Practice,0,33,MW,0,1,0,0,1,1
1376865949,F,PR,D.M.D.,Dentist,0,128,O,0,0,0,0,0,1
1609867399,M,MO,M.D.,Internal Medicine,0,1101,MW,0,1,0,0,0,1
1225079817,F,IA,M.D.,Family Practice,66,516,MW,0,1,0,0,1,1
1093777229,F,PA,M.D.,Dermatology,0,129,NE,1,0,0,0,0,1
1134260607,F,NH,ARNP,Nurse Practitioner,19,633,NE,1,0,0,0,1,0
1164544045,M,AR,D.O.,Family Practice,20,0,S,0,0,1,0,1,1
1538141569,F,IN,O.D.,Optometry,0,44,MW,0,1,0,0,0,1
1902916729,M,CA,M.D.,Internal Medicine,11,587,W,0,0,0,1,1,1
1679647747,M,WI,D.D.S.,Dentist,0,18,MW,0,1,0,0,0,1
1154304293,F,TN,D.D.S,Dentist,0,12,S,0,0,1,0,0,1
1659395069,M,TX,DPM MD,Podiatry,49,80,S,0,0,1,0,1,0
1114977758,M,NE,MD,Emergency Medicine,27,37,MW,0,1,0,0,1,1
1912339961,F,NC,FNP,Nurse Practitioner,14,246,S,0,0,1,0,1,0
1699933614,F,IA,PA-C,Physician Assistant,56,167,MW,0,1,0,0,1,0
1174601066,M,CA,MD,Internal Medicine,904,7669,W,0,0,0,1,1,1
1003893140,M,TX,MD,Psychiatry & Neurology,0,44,S,0,0,1,0,0,1
1104843101,F,MN,MD,Infectious Disease,0,43,MW,0,1,0,0,0,1
1912114752,M,OH,MD,Psychiatry,36,879,MW,0,1,0,0,1,1
