annual_inc,delinq_2yrs,home_ownership,inq_last_6mths,open_acc,pub_rec,loan_amnt,int_rate
26000,0,1,0,8,0,10000,6.68
63667,0,1,0,12,0,27000,18.84
75000,0,0,0,14,0,1500,9.99
100300,2,1,1,10,0,10000,12.29
71000,0,0,0,18,0,30000,13.99
55000,0,0,0,10,0,15000,19.52
54300,0,1,1,9,0,21000,12.29
42580,0,1,0,7,0,7450,6.39
65000,1,1,1,9,0,13300,6.92
58000,0,0,0,8,3,18000,14.65
101350,0,0,1,18,0,21000,21.67
62000,2,0,0,12,0,27200,21.67
53000,0,1,3,19,0,12550,17.57
45000,0,0,0,10,0,6000,11.53
105000,0,1,1,15,0,12000,6.68
120000,2,1,1,11,0,34550,11.53
50000,1,1,1,9,0,2500,14.65
60000,0,1,0,8,0,12000,7.89
50000,0,0,0,12,0,24925,16.99
55000,0,0,1,4,4,8000,16.99
140000,1,1,1,15,1,12000,9.99
37000,3,0,1,7,0,6000,16.99
75000,0,0,0,4,0,4300,15.61
35000,0,0,0,10,0,14000,11.53
190000,5,1,0,6,0,35000,13.33
139519.08,0,1,1,11,0,20000,13.33
59000,0,0,0,17,1,11200,12.29
80000,0,1,0,17,0,21000,6.68
165000,0,1,1,7,0,6000,5.93
50000,0,0,2,10,1,11000,13.99
35000,0,1,2,18,1,12500,20.49
40000,0,1,1,6,0,16750,15.61
60000,0,0,0,16,0,15000,13.33
130000,0,1,1,13,0,22500,5.93
80000,1,0,1,16,0,12000,12.29
35000,0,0,1,12,1,14000,11.53
80000,0,0,0,12,0,7200,5.93
98000,0,1,1,10,1,25000,8.18
96000,5,1,1,10,0,6275,19.52
60000,0,1,1,16,0,12000,8.18
44000,0,1,1,11,1,17550,21.67
75000,0,0,0,18,0,8000,14.65
90000,0,1,0,9,0,24000,6.92
120000,1,0,0,19,0,25000,7.89
100000,0,0,1,9,2,4000,12.69
52000,0,1,0,8,0,11000,11.53
97000,1,0,1,14,0,15000,13.33
166000,0,0,1,13,0,15000,7.89
45000,1,1,0,13,0,5000,12.69
50000,0,1,3,13,1,6000,12.29
75000,0,0,0,6,0,28500,21.67
55000,1,1,0,13,0,19000,15.61
80000,1,1,0,10,0,22000,13.99
57000,0,1,1,13,0,15000,18.84
46000,0,0,0,8,0,19200,12.69
103725,0,1,0,17,0,34100,7.89
100000,6,0,3,10,4,6000,9.99
14000,0,0,0,8,0,6075,12.29
70000,3,0,0,24,0,20000,9.17
25000,1,1,0,10,1,10475,16.99
45000,0,1,0,10,0,12000,13.33
86000,0,0,0,9,0,22675,9.99
38000,0,0,1,4,0,12000,13.33
50000,0,0,2,8,0,15000,19.52
125000,1,1,0,12,1,21175,12.69
62000,0,0,0,17,0,28425,13.99
80000,0,1,1,5,0,20000,18.84
68000,1,1,0,13,0,15000,7.89
