NPI,Gender,State,Region,Y.Opiod,N.Opiod,Opioid.P
1710982582,M,TX,S,17,12,1
1245278100,F,AL,S,362,1056,1
1427182161,F,NY,NE,0,289,0
1669567541,M,AZ,W,559,1198,1
1679650949,M,NV,W,66,113,1
1548580897,M,PA,NE,25,0,1
1437192002,M,NH,NE,90,2821,1
1407113988,F,PA,NE,0,198,0
1023260569,M,TX,S,0,144,0
1821106832,F,WI,MW,64,2184,1
1609931914,F,PR,O,71,240,1
1659334472,M,TX,S,17,0,1
1144205303,M,CO,W,247,3213,1
1548275050,M,OH,MW,0,47,0
1952598419,F,TX,S,155,579,1
1780661793,M,OH,MW,25,0,1
1356388011,F,MA,NE,0,14,0
1588788921,M,CT,NE,0,35,0
1548238389,M,FL,S,41,102,1
1366582587,M,MN,MW,14,0,1
1083907059,M,UT,W,11,0,1
1598748931,F,AL,S,139,3366,1
1609121748,F,IA,MW,0,200,0
1063566727,F,IL,MW,48,107,1
1487630919,M,CT,NE,0,625,0
1194795351,F,FL,S,0,120,0
1669671194,M,NY,NE,0,144,0
1629394754,M,NY,NE,0,19,1
1174555080,F,FL,S,20,383,1
1508170895,F,CO,W,0,14,0
1871548537,F,MT,W,31,264,1
1841349677,F,IN,MW,587,90,1
1801816095,M,FL,S,0,72,0
1629038443,M,VA,S,0,64,1
1386607315,F,FL,S,0,1180,1
1811005366,M,CA,W,0,12,0
1902018518,F,NV,W,0,3717,0
1295852101,M,IN,MW,53,0,1
1467448381,F,OR,W,104,2312,1
1285675637,M,NE,MW,256,5305,1
1669400792,F,MI,MW,0,192,0
1598863342,F,NM,W,0,60,0
1891112496,M,PA,NE,0,48,0
1235270554,M,CA,W,0,22,0
1679630891,F,TN,S,161,1247,1
1235132788,M,NY,NE,0,27,0
1346496197,F,IL,MW,25,341,1
1922136613,M,CT,NE,15,40,1
1316085228,F,CA,W,0,103,0
1295742583,M,KS,MW,0,90,0
1235426800,F,PA,NE,33,0,1
1902866106,F,LA,S,0,66,0
1952353724,M,MD,S,0,1462,0
1043399322,M,TX,S,132,1090,1
1255471140,M,IL,MW,0,1037,0
1619975919,F,CT,NE,78,0,1
1023062759,M,MI,MW,0,33,1
1376865949,F,PR,O,0,128,0
1609867399,M,MO,MW,0,1101,0
1225079817,F,IA,MW,66,516,1
1093777229,F,PA,NE,0,129,0
1134260607,F,NH,NE,19,633,1
1164544045,M,AR,S,20,0,1
1538141569,F,IN,MW,0,44,0
1902916729,M,CA,W,11,587,1
1679647747,M,WI,MW,0,18,0
1154304293,F,TN,S,0,12,0
1659395069,M,TX,S,49,80,1
1114977758,M,NE,MW,27,37,1
1912339961,F,NC,S,14,246,1
1699933614,F,IA,MW,56,167,1
1174601066,M,CA,W,904,7669,1
1003893140,M,TX,S,0,44,0
1104843101,F,MN,MW,0,43,0
1912114752,M,OH,MW,36,879,1
1326073214,M,NJ,NE,15,0,1
1063772572,F,MI,MW,20,0,1
1144285164,M,AL,S,0,3031,0
1255327441,M,IL,MW,0,59,0
1316921752,M,IL,MW,0,47,0
1194739243,M,NY,NE,54,4137,1
1609831783,F,AZ,W,30,107,1
1871682567,F,TN,S,193,5655,1
1124108774,M,NY,NE,13,0,1
1386964930,F,AL,S,48,824,1
1346403839,M,NY,NE,0,116,0
1184760480,M,FL,S,86,64,1
1457380826,F,NY,NE,11,0,1
1730245325,M,NY,NE,0,553,0
1013935303,M,PA,NE,251,8345,1
1629152525,M,TN,S,44,34,1
1265477343,M,TX,S,38,12,1
1629099304,M,SC,S,927,425,1
1205126695,F,NC,S,0,39,0
1982602868,M,CT,NE,149,148,1
1578724068,M,MO,MW,0,12,0
1144296245,M,WY,W,833,10147,1
1508982414,F,VA,S,144,4817,1
1316176233,M,OH,MW,13,24,1
1285792762,M,CA,W,342,9269,1
1386962785,M,NJ,NE,1193,1284,1
1457391989,M,ME,NE,0,71,0
1548413172,M,LA,S,0,50,0
1932193117,M,NJ,NE,0,393,0
1487933404,F,NY,NE,0,115,0
1063590743,M,CA,W,594,5307,1
1699740613,M,OH,MW,1190,5424,1
1093901357,M,OH,MW,263,4749,1
1588612477,F,CA,W,34,68,1
1881825461,M,FL,S,103,156,1
1528075702,M,AZ,W,0,1476,0
1467427427,F,MN,MW,104,3127,1
1437233327,M,NC,S,0,508,0
1053405951,F,OK,S,1134,288,1
1528037371,M,ME,NE,0,48,0
1366495459,F,UT,W,0,392,1
1720393101,F,CA,W,0,97,0
1720089469,M,CA,W,0,640,0
1467627729,M,FL,S,72,86,1
1154471449,M,TX,S,0,209,0
1811335664,F,PA,NE,0,87,0
1184619157,M,FL,S,0,951,0
1689765588,F,KS,MW,0,11,0
1053492868,M,IN,MW,82,309,1
1609989268,M,ND,MW,36,15,1
1881784809,F,NY,NE,0,178,1
1790753143,F,KY,S,0,1280,0
1588704753,M,MI,MW,0,17,0
1366415093,M,PR,O,0,239,0
1750509907,M,ME,NE,0,15,0
1356448336,M,CA,W,48,138,1
1851463541,M,GA,S,0,20,0
1336181536,F,GA,S,0,135,0
1497035588,M,NY,NE,0,205,0
1700045713,M,WI,MW,0,11,0
1598779209,M,AR,S,276,1820,1
1629141379,M,CT,NE,0,22,0
1952497273,M,NY,NE,0,1703,0
1437209079,F,NY,NE,0,1431,0
1619986395,M,NJ,NE,0,11,0
1235124835,M,CA,W,18,59,1
1881699270,M,TX,S,109,1546,1
1588724504,M,TX,S,49,19,1
1497708556,M,IL,MW,172,3000,1
1154553097,F,FL,S,0,3974,0
1962510818,F,SC,S,0,46,0
1902989668,M,CA,W,12,314,1
1760614101,M,MI,MW,0,11,0
1396955589,F,NC,S,0,504,0
1073527669,M,TX,S,0,1232,0
1689664211,M,MI,MW,366,9908,1
1184679599,M,OH,MW,0,60,0
1558575357,M,NY,NE,0,24,0
1508931650,M,IN,MW,220,5388,1
1245390210,M,TX,S,18,253,1
1649533845,M,MO,MW,0,35,0
1376703926,F,VA,S,0,79,0
1447298526,M,MI,MW,67,270,1
1700874153,F,AZ,W,14,1349,1
1184638702,F,GA,S,507,4495,1
1356360556,M,MA,NE,0,12,0
1619082526,M,LA,S,0,21,0
1477686616,F,DE,S,0,230,0
1659371177,M,MI,MW,67,0,1
1518951136,F,WI,MW,0,280,0
1285706093,F,CA,W,39,0,1
1760424683,F,CA,W,0,15,0
1497766810,M,NE,MW,53,39,1
1063467157,M,OH,MW,50,31,1
1972579928,M,OH,MW,796,17161,1
1699853770,F,CA,W,0,196,0
1710154299,M,CA,W,16,38,1
1932542842,M,IN,MW,0,28,1
1124197108,M,PR,O,0,5622,1
1093721847,M,WI,MW,0,815,0
1851458723,M,TX,S,28,0,1
1063617975,M,MD,S,135,1450,1
1144333055,M,TX,S,19,0,1
1801860630,M,NY,NE,12,1167,1
1154472579,M,PA,NE,252,10187,1
1316956899,M,CA,W,90,7334,1
1184667842,F,CA,W,408,9553,1
1295856854,M,TX,S,0,26,0
1962798900,M,PA,NE,0,130,0
1831278092,F,MI,MW,18,377,1
1184839037,F,MI,MW,0,53,0
1871685800,M,FL,S,0,45,0
1558311050,F,CA,W,0,1773,0
1851308340,M,PR,O,30,5425,1
1063464808,M,NJ,NE,0,399,1
1447398615,M,MI,MW,0,18,0
1487841177,M,CA,W,119,47,1
1063475432,M,IL,MW,27,0,1
1346294717,M,UT,W,248,4727,1
1437186061,M,WA,W,42,38,1
1326167164,F,MD,S,0,14,0
1669558797,M,MI,MW,0,2681,0
1003813155,F,CT,NE,0,15,0
1114173721,M,CA,W,15,0,1
1760767867,F,IL,MW,0,187,0
1104835941,F,NM,W,0,5136,0
1457554297,F,PR,O,0,67,0
1083671184,M,OH,MW,26,0,1
1023360765,F,MN,MW,36,966,1
1285617332,M,TN,S,641,2427,1
